Route_ID,Origin_State,Origin_City,Destination_State,Destination_City,Distance_km,Avg_Transit_Days,Toll_Charges_INR,Preferred_Vehicle,Highway_Route,Active,Carrier_ID,Avg_Fuel_Cost_INR,Last_Updated,SLA_Days,Risk_Level
RTE000001,Himachal Pradesh,Dharamshala,Madhya Pradesh,Jabalpur,2837,1,,Light Commercial Vehicle,FALSE,TRUE,CAR010,13838.52,2024-08-30 00:00:00,9,Critical
RTE000002,Bihar,Bhagalpur,Jharkhand,Deoghar,3014,11,,Container Truck,TRUE,TRUE,CAR004,22458.57,2024-12-22 00:00:00,2,Critical
RTE000003,Jharkhand,Ranchi,Gujarat,Surat,1725,13,1279.32,Tempo,FALSE,FALSE,CAR003,7327.68,2024-07-11 00:00:00,7,High
RTE000004,Rajasthan,Kota,Delhi,Gurugram,N/A,8,7789.32,Pickup Van,FALSE,TRUE,CAR012,19202.15,2023-11-05 00:00:00,10,Medium
RTE000005,Assam,Jorhat,Tamil Nadu,Coimbatore,1994,9,608.3,Medium Truck,FALSE,TRUE,CAR015,9132.03,2021-09-22 00:00:00,3,Medium
RTE000006,Himachal Pradesh,Solan,Uttar Pradesh,Lucknow,1381,10,4823.88,Light Commercial Vehicle,TRUE,TRUE,CAR009,8839.71,2022-07-14 00:00:00,4,Medium
RTE000007,Jharkhand,Deoghar,Delhi,New Delhi,3749,4,3672.42,Mini Truck,TRUE,FALSE,CAR007,24206.64,2023-07-11 00:00:00,5,Medium
RTE000008,Haryana,Gurugram,Karnataka,Hubli,426,1,6124.49,Light Commercial Vehicle,FALSE,TRUE,CAR007,2848.27,2022-02-26 00:00:00,9,Medium
RTE000009,Uttarakhand,Haridwar,Goa,Panaji,3427,11,8.61,Heavy Truck,FALSE,TRUE,CAR011,21141.93,2022-05-02 00:00:00,1,High
RTE000010,Maharashtra,Pune,Himachal Pradesh,Dharamshala,3138,5,5269.1,Medium Truck,FALSE,TRUE,CAR010,21356.42,2024-08-20 00:00:00,3,Critical
